Name,Code,Latitude,Longitude,Mode,Passenger 2015 ,Passenger 2016,Passenger 2017
Sacramento International Airport,SMF,38.6951,-121.5901,Airport,9561826,10118795,10911438
San Francisco International Airport,SFO,37.6213,-122.379,Airport,50048860,53092059,55810339
Metropolitan Oakland International Airport,OAK,37.7126,-122.2197,Airport,11205063,12070967,13072245
N. Mineta San Jose International Airport,SJC,37.3639,-121.9289,Airport,9577292,10621412,12206183
Los Angeles International Airport,LAX,33.9416,-118.4085,Airport,74396356,80887826,84554427
Bob Hope Airport,BUR,34.1983,-118.3574,Airport,4239729,4142943,4739466
Long Beach Airport,LGB,33.8178,-118.1525,Airport,2523686,2846283,3719589
Ontario International Airport,ONT,34.0559,-117.5981,Airport,4217366,4254353,4552318
San Diego International Airport,SAN,32.7336,-117.1933,Airport,20045258,20659532,22174767
